% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
26696 +8.428576822e-02 +8.428576822e-02 +4.086428577e+01 +4.086428577e+01 -2.2139e+00 -2.2403e+00 +3.8286e+00 -2.0181e+00 -3.8773e+00 +5.3947e-01 -3.2325e+00 -2.4500e+00 +2.9955e+00 -2.9228e+00 +9.9663e-01 -2.2591e+00 +9.6151e-01 +1.9255e+00 -2.1181e-01 -8.9847e-01 +2.3651e+00 +7.9438e-01 +4.0914e-01 +8.9602e-01
28481 +5.087194331e-02 +5.087194331e-02 +4.083087194e+01 +4.083087194e+01 -2.1856e+00 -2.2403e+00 +4.1141e+00 -2.0000e+00 -3.9270e+00 +5.3947e-01 -2.8946e+00 -2.4500e+00 +3.0477e+00 -2.9228e+00 +1.0208e+00 -2.2532e+00 +9.6151e-01 +2.1329e+00 -2.1181e-01 -8.9847e-01 +2.3651e+00 +7.9438e-01 +4.0914e-01 +8.9602e-01
29744 +3.427331485e-02 +3.427331485e-02 +4.081427331e+01 +4.081427331e+01 -2.1856e+00 -2.3480e+00 +4.1237e+00 -2.0000e+00 -3.9270e+00 +5.3947e-01 -2.8982e+00 -2.3007e+00 +2.8419e+00 -2.9228e+00 +1.2013e+00 -2.2532e+00 +9.6151e-01 +2.1329e+00 +1.2926e-01 -9.8541e-01 +2.3651e+00 +5.9620e-01 +5.6739e-01 +8.5031e-01
31825 +1.438564947e-02 +1.438564947e-02 +4.079438565e+01 +4.079438565e+01 -2.1856e+00 -2.1291e+00 +4.1237e+00 -2.0000e+00 -3.9270e+00 +7.3435e-01 -2.8982e+00 -2.2779e+00 +2.8419e+00 -2.9228e+00 +1.2013e+00 -2.2934e+00 +9.6454e-01 +2.1329e+00 -1.1751e-01 -9.8541e-01 +2.3651e+00 +4.4686e-01 +5.6739e-01 +1.1159e+00
34749 +7.639498495e-03 +7.639498495e-03 +4.078763950e+01 +4.078763950e+01 -2.1434e+00 -2.0646e+00 +4.0690e+00 -2.0991e+00 -3.9942e+00 +6.9451e-01 -3.1245e+00 -2.3088e+00 +2.9954e+00 -2.9888e+00 +1.1670e+00 -2.2173e+00 +9.5005e-01 +2.1660e+00 -2.1181e-01 -1.1403e+00 +2.2783e+00 +5.5393e-01 +9.2335e-01 +1.1738e+00
37737 +5.434913427e-03 +5.434913427e-03 +4.078543491e+01 +4.078543491e+01 -2.1434e+00 -2.1475e+00 +4.0309e+00 -2.0991e+00 -3.9710e+00 +6.7649e-01 -2.9346e+00 -2.2886e+00 +2.9954e+00 -3.0504e+00 +1.1729e+00 -2.2437e+00 +9.5005e-01 +2.1660e+00 -2.1181e-01 -1.0764e+00 +2.2754e+00 +5.5393e-01 +9.2335e-01 +1.1738e+00
40649 +3.788524628e-03 +3.788524628e-03 +4.078378852e+01 +4.078378852e+01 -2.1466e+00 -2.1038e+00 +4.1553e+00 -2.1513e+00 -3.8268e+00 +7.7059e-01 -2.9346e+00 -2.2886e+00 +2.9954e+00 -3.0373e+00 +1.1863e+00 -2.2437e+00 +8.5133e-01 +2.1653e+00 -2.1181e-01 -1.0707e+00 +2.2902e+00 +5.2056e-01 +9.2335e-01 +1.1738e+00
45002 +2.107649010e-03 +2.107649010e-03 +4.078210765e+01 +4.078210765e+01 -2.2321e+00 -2.0646e+00 +4.0604e+00 -2.1872e+00 -3.8219e+00 +6.6758e-01 -2.9223e+00 -2.2908e+00 +2.9956e+00 -2.9884e+00 +1.1670e+00 -2.2613e+00 +9.4989e-01 +2.1687e+00 -2.1181e-01 -1.1439e+00 +2.1190e+00 +6.5538e-01 +8.5552e-01 +1.1532e+00
47234 +1.556072396e-03 +1.556072396e-03 +4.078155607e+01 +4.078155607e+01 -2.2343e+00 -2.0795e+00 +4.0831e+00 -2.0832e+00 -3.7256e+00 +7.3235e-01 -2.8995e+00 -2.2863e+00 +2.9185e+00 -3.0700e+00 +1.1657e+00 -2.2093e+00 +9.6741e-01 +2.3671e+00 -1.9725e-01 -1.0695e+00 +2.1925e+00 +5.8166e-01 +7.9035e-01 +1.1023e+00
48298 +9.867882709e-04 +9.867882709e-04 +4.078098679e+01 +4.078098679e+01 -2.2658e+00 -1.9229e+00 +4.0983e+00 -2.1505e+00 -3.7784e+00 +6.6758e-01 -2.9705e+00 -2.1832e+00 +2.9955e+00 -3.0165e+00 +1.1699e+00 -2.3342e+00 +9.4719e-01 +2.3433e+00 -1.8953e-01 -1.1484e+00 +2.1428e+00 +6.3166e-01 +9.2325e-01 +1.1554e+00
57007 +5.454907291e-04 +5.454907291e-04 +4.078054549e+01 +4.078054549e+01 -2.3368e+00 -1.9359e+00 +4.0498e+00 -2.1279e+00 -3.7779e+00 +6.8878e-01 -2.8984e+00 -2.2029e+00 +2.9478e+00 -3.0487e+00 +1.1799e+00 -2.2932e+00 +9.9077e-01 +2.3645e+00 -2.2045e-01 -1.1010e+00 +2.0517e+00 +7.0198e-01 +8.9087e-01 +1.1516e+00
58652 +3.129184403e-04 +3.129184403e-04 +4.078031292e+01 +4.078031292e+01 -2.3262e+00 -1.9396e+00 +4.0242e+00 -2.0831e+00 -3.7170e+00 +6.9133e-01 -2.9031e+00 -2.1927e+00 +2.9125e+00 -3.0723e+00 +1.1894e+00 -2.3062e+00 +1.0295e+00 +2.4209e+00 -3.9702e-01 -1.1466e+00 +2.0533e+00 +6.6419e-01 +9.2851e-01 +1.1442e+00
62016 +2.406586693e-04 +2.406586693e-04 +4.078024066e+01 +4.078024066e+01 -2.3534e+00 -1.9396e+00 +4.0242e+00 -2.1594e+00 -3.6876e+00 +6.8481e-01 -2.8987e+00 -2.1947e+00 +2.9575e+00 -3.0725e+00 +1.1973e+00 -2.3188e+00 +1.0295e+00 +2.4146e+00 -2.6442e-01 -1.1012e+00 +2.0546e+00 +6.7014e-01 +9.2177e-01 +1.1516e+00
68473 +1.566064741e-04 +1.566064741e-04 +4.078015661e+01 +4.078015661e+01 -2.3885e+00 -1.9232e+00 +3.9975e+00 -2.1559e+00 -3.6652e+00 +6.7142e-01 -2.9021e+00 -2.1947e+00 +2.9484e+00 -3.0569e+00 +1.2041e+00 -2.3475e+00 +1.0296e+00 +2.4264e+00 -3.6675e-01 -1.1304e+00 +1.9984e+00 +6.6279e-01 +9.1644e-01 +1.1413e+00
73526 +9.093923212e-05 +9.093923212e-05 +4.078009094e+01 +4.078009094e+01 -2.4078e+00 -1.8956e+00 +3.9680e+00 -2.1433e+00 -3.6705e+00 +6.6702e-01 -2.8996e+00 -2.1911e+00 +2.9380e+00 -3.0618e+00 +1.2324e+00 -2.2865e+00 +1.1022e+00 +2.4691e+00 -3.0574e-01 -1.1121e+00 +2.0051e+00 +6.6288e-01 +9.1526e-01 +1.1237e+00
75854 +4.845645029e-05 +4.845645029e-05 +4.078004846e+01 +4.078004846e+01 -2.3899e+00 -1.9217e+00 +3.9930e+00 -2.1469e+00 -3.6738e+00 +6.7474e-01 -2.8286e+00 -2.1962e+00 +2.9371e+00 -3.1749e+00 +1.2927e+00 -2.2979e+00 +1.0231e+00 +2.4543e+00 -3.7605e-01 -1.1466e+00 +1.9573e+00 +7.0332e-01 +9.2356e-01 +1.1158e+00
79543 +3.593071570e-05 +3.593071570e-05 +4.078003593e+01 +4.078003593e+01 -2.3978e+00 -1.8978e+00 +3.9859e+00 -2.1437e+00 -3.6774e+00 +6.7474e-01 -2.8286e+00 -2.1970e+00 +2.9371e+00 -3.1749e+00 +1.2938e+00 -2.2993e+00 +1.0231e+00 +2.4544e+00 -3.7605e-01 -1.1466e+00 +1.9454e+00 +6.7509e-01 +9.0353e-01 +1.1158e+00
86595 +1.998012301e-05 +1.998012301e-05 +4.078001998e+01 +4.078001998e+01 -2.4266e+00 -1.8411e+00 +4.0033e+00 -2.1532e+00 -3.6734e+00 +6.6975e-01 -2.8490e+00 -2.1685e+00 +2.9338e+00 -3.1700e+00 +1.3030e+00 -2.2985e+00 +1.0470e+00 +2.4951e+00 -3.7440e-01 -1.1467e+00 +1.9133e+00 +7.0275e-01 +9.2231e-01 +1.1158e+00
86997 +1.522173881e-05 +1.522173881e-05 +4.078001522e+01 +4.078001522e+01 -2.4266e+00 -1.8411e+00 +3.9962e+00 -2.1425e+00 -3.6805e+00 +6.6975e-01 -2.8490e+00 -2.1685e+00 +2.9346e+00 -3.1700e+00 +1.3030e+00 -2.2985e+00 +1.0470e+00 +2.4948e+00 -3.7440e-01 -1.1467e+00 +1.9054e+00 +6.9821e-01 +9.2231e-01 +1.0972e+00
92341 +8.720776712e-06 +8.720776712e-06 +4.078000872e+01 +4.078000872e+01 -2.4394e+00 -1.8463e+00 +3.9830e+00 -2.1428e+00 -3.6812e+00 +6.6937e-01 -2.8284e+00 -2.1692e+00 +2.9336e+00 -3.1709e+00 +1.3201e+00 -2.3008e+00 +1.0672e+00 +2.5093e+00 -3.8186e-01 -1.1464e+00 +1.9010e+00 +6.9728e-01 +9.2231e-01 +1.0948e+00
99681 +6.214538381e-06 +6.214538381e-06 +4.078000621e+01 +4.078000621e+01 -2.4394e+00 -1.8210e+00 +3.9704e+00 -2.1428e+00 -3.6812e+00 +6.6257e-01 -2.8279e+00 -2.1692e+00 +2.9370e+00 -3.1699e+00 +1.3201e+00 -2.2982e+00 +1.0708e+00 +2.5171e+00 -3.8774e-01 -1.1504e+00 +1.8954e+00 +7.0035e-01 +9.2252e-01 +1.0691e+00
104370 +3.789995240e-06 +3.789995240e-06 +4.078000379e+01 +4.078000379e+01 -2.4565e+00 -1.8409e+00 +3.9514e+00 -2.1427e+00 -3.6724e+00 +6.5051e-01 -2.8368e+00 -2.1678e+00 +2.9333e+00 -3.1711e+00 +1.3192e+00 -2.2952e+00 +1.0907e+00 +2.5432e+00 -3.8857e-01 -1.1455e+00 +1.9001e+00 +6.9750e-01 +9.1206e-01 +1.0805e+00
105905 +2.469621037e-06 +2.469621037e-06 +4.078000247e+01 +4.078000247e+01 -2.4516e+00 -1.8121e+00 +3.9393e+00 -2.1428e+00 -3.6769e+00 +6.3671e-01 -2.8154e+00 -2.1547e+00 +2.9318e+00 -3.1682e+00 +1.3187e+00 -2.2972e+00 +1.0841e+00 +2.5483e+00 -4.0232e-01 -1.1548e+00 +1.8833e+00 +6.9788e-01 +9.0695e-01 +1.0763e+00
110745 +1.577010536e-06 +1.577010536e-06 +4.078000158e+01 +4.078000158e+01 -2.4542e+00 -1.8185e+00 +3.9263e+00 -2.1480e+00 -3.6770e+00 +6.4525e-01 -2.8274e+00 -2.1505e+00 +2.9386e+00 -3.1631e+00 +1.3197e+00 -2.2975e+00 +1.1020e+00 +2.5551e+00 -3.9206e-01 -1.1540e+00 +1.8747e+00 +6.9169e-01 +9.0454e-01 +1.0604e+00
117423 +9.858125338e-07 +9.858125338e-07 +4.078000099e+01 +4.078000099e+01 -2.4774e+00 -1.8113e+00 +3.9241e+00 -2.1433e+00 -3.6784e+00 +6.3433e-01 -2.8319e+00 -2.1478e+00 +2.9364e+00 -3.1657e+00 +1.3220e+00 -2.3125e+00 +1.0988e+00 +2.5682e+00 -3.9691e-01 -1.1532e+00 +1.8797e+00 +6.9550e-01 +9.0880e-01 +1.0546e+00
121873 +5.895679607e-07 +5.895679607e-07 +4.078000059e+01 +4.078000059e+01 -2.4680e+00 -1.8107e+00 +3.9245e+00 -2.1443e+00 -3.6634e+00 +6.4010e-01 -2.8251e+00 -2.1477e+00 +2.9347e+00 -3.1683e+00 +1.3356e+00 -2.3230e+00 +1.0993e+00 +2.5658e+00 -4.0633e-01 -1.1537e+00 +1.8751e+00 +7.0242e-01 +8.9388e-01 +1.0551e+00
127861 +3.862749693e-07 +3.862749693e-07 +4.078000039e+01 +4.078000039e+01 -2.4695e+00 -1.8144e+00 +3.9170e+00 -2.1503e+00 -3.6753e+00 +6.3131e-01 -2.8199e+00 -2.1365e+00 +2.9316e+00 -3.1666e+00 +1.3410e+00 -2.3193e+00 +1.1046e+00 +2.5654e+00 -4.0469e-01 -1.1524e+00 +1.8737e+00 +6.9742e-01 +9.0376e-01 +1.0432e+00
132343 +2.465851523e-07 +2.465851523e-07 +4.078000025e+01 +4.078000025e+01 -2.4782e+00 -1.8048e+00 +3.9142e+00 -2.1503e+00 -3.6605e+00 +6.3577e-01 -2.8170e+00 -2.1383e+00 +2.9313e+00 -3.1667e+00 +1.3545e+00 -2.3195e+00 +1.1102e+00 +2.5749e+00 -4.0954e-01 -1.1527e+00 +1.8716e+00 +6.9765e-01 +9.0241e-01 +1.0445e+00
138195 +1.552090012e-07 +1.552090012e-07 +4.078000016e+01 +4.078000016e+01 -2.4844e+00 -1.8126e+00 +3.9173e+00 -2.1569e+00 -3.6709e+00 +6.3066e-01 -2.8170e+00 -2.1387e+00 +2.9366e+00 -3.1701e+00 +1.3441e+00 -2.3162e+00 +1.1079e+00 +2.5751e+00 -4.0709e-01 -1.1641e+00 +1.8652e+00 +6.9790e-01 +9.0197e-01 +1.0431e+00
142831 +9.884157492e-08 +9.884157492e-08 +4.078000010e+01 +4.078000010e+01 -2.4883e+00 -1.8073e+00 +3.9145e+00 -2.1627e+00 -3.6723e+00 +6.2818e-01 -2.8166e+00 -2.1407e+00 +2.9337e+00 -3.1745e+00 +1.3501e+00 -2.3207e+00 +1.1126e+00 +2.5807e+00 -4.0475e-01 -1.1621e+00 +1.8552e+00 +6.9803e-01 +9.0187e-01 +1.0309e+00
146619 +6.147702436e-08 +6.147702436e-08 +4.078000006e+01 +4.078000006e+01 -2.4979e+00 -1.8079e+00 +3.9154e+00 -2.1583e+00 -3.6693e+00 +6.2909e-01 -2.8178e+00 -2.1366e+00 +2.9338e+00 -3.1705e+00 +1.3503e+00 -2.3201e+00 +1.1127e+00 +2.5770e+00 -4.2243e-01 -1.1706e+00 +1.8604e+00 +6.9876e-01 +9.0331e-01 +1.0326e+00
156756 +3.824211348e-08 +3.824211348e-08 +4.078000004e+01 +4.078000004e+01 -2.4948e+00 -1.8034e+00 +3.9087e+00 -2.1588e+00 -3.6714e+00 +6.2721e-01 -2.8162e+00 -2.1305e+00 +2.9343e+00 -3.1700e+00 +1.3567e+00 -2.3208e+00 +1.1198e+00 +2.5851e+00 -4.1431e-01 -1.1656e+00 +1.8555e+00 +6.9907e-01 +9.0070e-01 +1.0310e+00
162363 +2.365846541e-08 +2.365846541e-08 +4.078000002e+01 +4.078000002e+01 -2.5001e+00 -1.8034e+00 +3.9065e+00 -2.1621e+00 -3.6707e+00 +6.2653e-01 -2.8139e+00 -2.1313e+00 +2.9332e+00 -3.1745e+00 +1.3525e+00 -2.3205e+00 +1.1208e+00 +2.5860e+00 -4.1754e-01 -1.1681e+00 +1.8515e+00 +6.9854e-01 +9.0061e-01 +1.0292e+00
164150 +1.564693974e-08 +1.564693974e-08 +4.078000002e+01 +4.078000002e+01 -2.4957e+00 -1.8026e+00 +3.9042e+00 -2.1613e+00 -3.6678e+00 +6.2690e-01 -2.8162e+00 -2.1289e+00 +2.9335e+00 -3.1729e+00 +1.3567e+00 -2.3205e+00 +1.1198e+00 +2.5948e+00 -4.1757e-01 -1.1649e+00 +1.8532e+00 +6.9770e-01 +9.0069e-01 +1.0295e+00
175639 +9.708919890e-09 +9.708919890e-09 +4.078000001e+01 +4.078000001e+01 -2.5010e+00 -1.8015e+00 +3.9032e+00 -2.1616e+00 -3.6685e+00 +6.2168e-01 -2.8127e+00 -2.1273e+00 +2.9373e+00 -3.1723e+00 +1.3575e+00 -2.3250e+00 +1.1224e+00 +2.5937e+00 -4.1457e-01 -1.1679e+00 +1.8516e+00 +6.9830e-01 +8.9651e-01 +1.0270e+00
177319 +5.231868272e-09 +5.231868272e-09 +4.078000001e+01 +4.078000001e+01 -2.5041e+00 -1.8003e+00 +3.8974e+00 -2.1647e+00 -3.6690e+00 +6.2246e-01 -2.8120e+00 -2.1264e+00 +2.9367e+00 -3.1711e+00 +1.3616e+00 -2.3263e+00 +1.1248e+00 +2.5987e+00 -4.1746e-01 -1.1691e+00 +1.8459e+00 +7.0062e-01 +8.9804e-01 +1.0291e+00
181811 +3.648246150e-09 +3.648246150e-09 +4.078000000e+01 +4.078000000e+01 -2.5022e+00 -1.7972e+00 +3.8974e+00 -2.1647e+00 -3.6680e+00 +6.2246e-01 -2.8117e+00 -2.1264e+00 +2.9367e+00 -3.1711e+00 +1.3616e+00 -2.3278e+00 +1.1248e+00 +2.5987e+00 -4.1788e-01 -1.1691e+00 +1.8459e+00 +6.9838e-01 +8.9759e-01 +1.0275e+00
187793 +2.375415420e-09 +2.375415420e-09 +4.078000000e+01 +4.078000000e+01 -2.5041e+00 -1.7977e+00 +3.8974e+00 -2.1599e+00 -3.6690e+00 +6.1891e-01 -2.8089e+00 -2.1247e+00 +2.9380e+00 -3.1716e+00 +1.3619e+00 -2.3263e+00 +1.1262e+00 +2.5998e+00 -4.1735e-01 -1.1689e+00 +1.8459e+00 +7.0110e-01 +8.9430e-01 +1.0252e+00
192362 +1.422954199e-09 +1.422954199e-09 +4.078000000e+01 +4.078000000e+01 -2.5041e+00 -1.7931e+00 +3.8974e+00 -2.1610e+00 -3.6691e+00 +6.1939e-01 -2.8080e+00 -2.1231e+00 +2.9381e+00 -3.1719e+00 +1.3619e+00 -2.3292e+00 +1.1275e+00 +2.5998e+00 -4.1733e-01 -1.1689e+00 +1.8456e+00 +7.0058e-01 +8.9541e-01 +1.0246e+00
196035 +9.930829492e-10 +9.930829492e-10 +4.078000000e+01 +4.078000000e+01 -2.5072e+00 -1.7918e+00 +3.8972e+00 -2.1624e+00 -3.6683e+00 +6.2053e-01 -2.8085e+00 -2.1237e+00 +2.9389e+00 -3.1719e+00 +1.3632e+00 -2.3302e+00 +1.1256e+00 +2.6022e+00 -4.1931e-01 -1.1691e+00 +1.8440e+00 +7.0046e-01 +8.9603e-01 +1.0229e+00
200884 +6.163674016e-10 +6.163674016e-10 +4.078000000e+01 +4.078000000e+01 -2.5078e+00 -1.7924e+00 +3.8979e+00 -2.1622e+00 -3.6690e+00 +6.1888e-01 -2.8090e+00 -2.1229e+00 +2.9401e+00 -3.1718e+00 +1.3620e+00 -2.3297e+00 +1.1291e+00 +2.6019e+00 -4.1931e-01 -1.1694e+00 +1.8440e+00 +7.0144e-01 +8.9538e-01 +1.0229e+00
206988 +3.869047305e-10 +3.869047305e-10 +4.078000000e+01 +4.078000000e+01 -2.5083e+00 -1.7914e+00 +3.8960e+00 -2.1623e+00 -3.6690e+00 +6.1815e-01 -2.8078e+00 -2.1215e+00 +2.9377e+00 -3.1699e+00 +1.3632e+00 -2.3315e+00 +1.1291e+00 +2.6045e+00 -4.1980e-01 -1.1696e+00 +1.8412e+00 +7.0149e-01 +8.9236e-01 +1.0220e+00
214195 +2.191242743e-10 +2.191242743e-10 +4.078000000e+01 +4.078000000e+01 -2.5081e+00 -1.7913e+00 +3.8954e+00 -2.1621e+00 -3.6687e+00 +6.1768e-01 -2.8074e+00 -2.1211e+00 +2.9388e+00 -3.1705e+00 +1.3644e+00 -2.3315e+00 +1.1294e+00 +2.6047e+00 -4.2050e-01 -1.1695e+00 +1.8413e+00 +7.0136e-01 +8.9319e-01 +1.0190e+00
218548 +1.412558959e-10 +1.412558959e-10 +4.078000000e+01 +4.078000000e+01 -2.5092e+00 -1.7913e+00 +3.8954e+00 -2.1642e+00 -3.6686e+00 +6.1744e-01 -2.8074e+00 -2.1211e+00 +2.9388e+00 -3.1705e+00 +1.3659e+00 -2.3315e+00 +1.1294e+00 +2.6047e+00 -4.2025e-01 -1.1696e+00 +1.8417e+00 +7.0223e-01 +8.9322e-01 +1.0183e+00
221892 +9.003287005e-11 +9.003287005e-11 +4.078000000e+01 +4.078000000e+01 -2.5099e+00 -1.7912e+00 +3.8944e+00 -2.1626e+00 -3.6688e+00 +6.1742e-01 -2.8075e+00 -2.1213e+00 +2.9392e+00 -3.1703e+00 +1.3644e+00 -2.3315e+00 +1.1318e+00 +2.6047e+00 -4.2197e-01 -1.1710e+00 +1.8413e+00 +7.0189e-01 +8.9270e-01 +1.0189e+00
229486 +6.011191545e-11 +6.011191545e-11 +4.078000000e+01 +4.078000000e+01 -2.5103e+00 -1.7911e+00 +3.8946e+00 -2.1646e+00 -3.6687e+00 +6.1718e-01 -2.8073e+00 -2.1210e+00 +2.9394e+00 -3.1703e+00 +1.3655e+00 -2.3316e+00 +1.1321e+00 +2.6049e+00 -4.2128e-01 -1.1717e+00 +1.8402e+00 +7.0233e-01 +8.9310e-01 +1.0188e+00
233894 +3.912958846e-11 +3.912958846e-11 +4.078000000e+01 +4.078000000e+01 -2.5111e+00 -1.7907e+00 +3.8947e+00 -2.1647e+00 -3.6686e+00 +6.1619e-01 -2.8072e+00 -2.1211e+00 +2.9400e+00 -3.1704e+00 +1.3661e+00 -2.3315e+00 +1.1325e+00 +2.6048e+00 -4.2114e-01 -1.1717e+00 +1.8403e+00 +7.0166e-01 +8.9264e-01 +1.0187e+00
237630 +2.486189032e-11 +2.486189032e-11 +4.078000000e+01 +4.078000000e+01 -2.5112e+00 -1.7903e+00 +3.8947e+00 -2.1647e+00 -3.6687e+00 +6.1615e-01 -2.8068e+00 -2.1212e+00 +2.9398e+00 -3.1704e+00 +1.3661e+00 -2.3321e+00 +1.1329e+00 +2.6050e+00 -4.2119e-01 -1.1719e+00 +1.8400e+00 +7.0272e-01 +8.9249e-01 +1.0187e+00
250645 +1.568167818e-11 +1.568167818e-11 +4.078000000e+01 +4.078000000e+01 -2.5118e+00 -1.7900e+00 +3.8946e+00 -2.1646e+00 -3.6686e+00 +6.1555e-01 -2.8067e+00 -2.1199e+00 +2.9400e+00 -3.1704e+00 +1.3666e+00 -2.3319e+00 +1.1332e+00 +2.6062e+00 -4.2154e-01 -1.1721e+00 +1.8395e+00 +7.0262e-01 +8.9265e-01 +1.0176e+00
