% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
13916 +1.533734027e+00 +1.533734027e+00 +8.101373403e+01 +8.101373403e+01 +3.7986e-01 -8.9576e-01 -6.1318e-01 +2.2063e+00 -2.2648e+00 +1.5586e-01 -8.9224e-03 -1.1594e-01 -2.0421e+00 -3.1951e+00 -3.4489e+00 +1.7175e+00 +9.0137e-01 -1.0539e-01 +3.2879e+00 +3.0971e+00 +8.2512e-02 -3.9241e+00 +2.8436e+00 +1.0017e+00
17993 +8.233888549e-01 +8.233888549e-01 +8.030338885e+01 +8.030338885e+01 +4.5425e-01 -1.2699e+00 -4.5227e-01 +1.9018e+00 -2.7828e+00 +2.3285e-01 -4.2544e-01 -3.8883e-01 -1.7839e+00 -2.9632e+00 -3.8346e+00 +2.0948e+00 +8.9982e-01 -1.4603e-01 +3.7306e+00 +3.2019e+00 -2.6839e-01 -4.1197e+00 +2.5619e+00 +1.2025e+00
19473 +6.263410586e-01 +6.263410586e-01 +8.010634106e+01 +8.010634106e+01 +3.7986e-01 -8.9576e-01 -7.2938e-01 +1.9691e+00 -2.5716e+00 +5.7542e-01 +1.0005e-01 +4.9404e-01 -1.4758e+00 -3.1951e+00 -4.0336e+00 +2.1261e+00 +1.1156e+00 -1.2033e-01 +3.6776e+00 +2.6727e+00 +2.0313e-01 -3.7227e+00 +2.2216e+00 +1.3016e+00
21880 +3.719202205e-01 +3.719202205e-01 +7.985192022e+01 +7.985192022e+01 +3.3467e-01 -1.1930e+00 -7.2325e-01 +2.0175e+00 -2.6112e+00 +2.8528e-01 -2.5347e-01 -5.3504e-02 -1.4580e+00 -3.1219e+00 -3.9415e+00 +2.3147e+00 +9.7386e-01 -1.4644e-01 +3.5810e+00 +2.8512e+00 +1.6069e-01 -4.0292e+00 +2.4963e+00 +1.2562e+00
24746 +2.156226098e-01 +2.156226098e-01 +7.969562261e+01 +7.969562261e+01 +5.6388e-01 -1.2402e+00 -8.0216e-01 +1.9245e+00 -2.7409e+00 +5.1914e-01 -3.7537e-02 +1.7658e-01 -1.6394e+00 -2.9788e+00 -3.7383e+00 +1.9183e+00 +9.9885e-01 -2.0532e-01 +3.5891e+00 +2.8855e+00 -1.1941e-01 -4.0419e+00 +2.4994e+00 +1.3313e+00
26953 +1.515873393e-01 +1.515873393e-01 +7.963158734e+01 +7.963158734e+01 +2.6668e-01 -1.2491e+00 -7.7656e-01 +2.0323e+00 -2.5711e+00 +3.3293e-01 -6.0761e-02 +1.4400e-02 -1.6502e+00 -2.7782e+00 -3.7642e+00 +1.9906e+00 +1.0556e+00 -7.5847e-02 +3.6358e+00 +2.8632e+00 -1.2754e-01 -3.9715e+00 +2.3819e+00 +1.3096e+00
29164 +9.992391858e-02 +9.992391858e-02 +7.957992392e+01 +7.957992392e+01 +2.1960e-01 -1.2057e+00 -8.0216e-01 +1.8954e+00 -2.7409e+00 +4.8802e-01 -3.7537e-02 +1.7658e-01 -1.7620e+00 -3.1019e+00 -3.8165e+00 +1.9256e+00 +1.1190e+00 -2.0532e-01 +3.5804e+00 +2.9783e+00 -1.1643e-01 -3.9751e+00 +2.4994e+00 +1.3313e+00
31948 +5.657273919e-02 +5.657273919e-02 +7.953657274e+01 +7.953657274e+01 +2.8450e-01 -1.1371e+00 -6.6134e-01 +1.9176e+00 -2.7382e+00 +4.8272e-01 -1.1356e-01 +1.4824e-01 -1.7038e+00 -3.0854e+00 -3.8470e+00 +1.9919e+00 +9.9885e-01 -2.0532e-01 +3.7332e+00 +2.8838e+00 -5.8731e-02 -3.8927e+00 +2.3028e+00 +1.3608e+00
32765 +2.852863226e-02 +2.852863226e-02 +7.950852863e+01 +7.950852863e+01 +1.9064e-01 -1.1490e+00 -7.1351e-01 +1.8571e+00 -2.7135e+00 +4.2287e-01 -1.1691e-01 +1.2234e-01 -1.6451e+00 -2.9788e+00 -3.8228e+00 +2.0482e+00 +1.0410e+00 -6.9291e-02 +3.7065e+00 +2.8798e+00 -1.4008e-01 -3.8736e+00 +2.3774e+00 +1.3893e+00
36104 +2.427170214e-02 +2.427170214e-02 +7.950427170e+01 +7.950427170e+01 +2.1604e-01 -1.1949e+00 -7.1351e-01 +1.8571e+00 -2.7159e+00 +4.2287e-01 -1.1691e-01 +9.4242e-02 -1.6401e+00 -3.0624e+00 -3.8228e+00 +2.0268e+00 +1.0410e+00 -6.5034e-02 +3.7065e+00 +2.8798e+00 -9.5317e-02 -3.8736e+00 +2.3774e+00 +1.4061e+00
38824 +1.511567489e-02 +1.511567489e-02 +7.949511567e+01 +7.949511567e+01 +2.6305e-01 -1.1752e+00 -7.4198e-01 +1.9197e+00 -2.7149e+00 +4.2317e-01 -1.2695e-01 +1.2926e-01 -1.6439e+00 -3.0007e+00 -3.8299e+00 +1.9493e+00 +1.0843e+00 -8.8933e-02 +3.6798e+00 +2.9034e+00 -1.2555e-01 -3.8859e+00 +2.3648e+00 +1.3114e+00
41013 +9.687611368e-03 +9.687611368e-03 +7.948968761e+01 +7.948968761e+01 +2.7894e-01 -1.1490e+00 -7.0006e-01 +1.9484e+00 -2.7310e+00 +4.2827e-01 -1.3126e-01 +1.1922e-01 -1.6600e+00 -3.0548e+00 -3.8695e+00 +2.0406e+00 +1.0982e+00 -9.4119e-02 +3.6550e+00 +2.8846e+00 -1.3147e-01 -3.8842e+00 +2.3909e+00 +1.3652e+00
42126 +4.549690833e-03 +4.549690833e-03 +7.948454969e+01 +7.948454969e+01 +2.5883e-01 -1.1670e+00 -7.1575e-01 +1.9356e+00 -2.6762e+00 +4.1073e-01 -9.4813e-02 +1.0083e-01 -1.6285e+00 -3.0547e+00 -3.8298e+00 +2.0161e+00 +1.0885e+00 -7.4825e-02 +3.6771e+00 +2.8882e+00 -1.0955e-01 -3.9253e+00 +2.3728e+00 +1.3483e+00
44544 +3.780577706e-03 +3.780577706e-03 +7.948378058e+01 +7.948378058e+01 +2.6657e-01 -1.1581e+00 -7.1575e-01 +1.9271e+00 -2.6762e+00 +4.6743e-01 -1.0986e-01 +1.0422e-01 -1.6566e+00 -3.0547e+00 -3.8438e+00 +2.0195e+00 +1.0885e+00 -1.1575e-01 +3.6601e+00 +2.8854e+00 -1.1036e-01 -3.9254e+00 +2.3728e+00 +1.3537e+00
46675 +2.410189008e-03 +2.410189008e-03 +7.948241019e+01 +7.948241019e+01 +2.5873e-01 -1.1451e+00 -7.3371e-01 +1.9265e+00 -2.6833e+00 +4.1799e-01 -1.1677e-01 +1.1498e-01 -1.6253e+00 -3.0468e+00 -3.8601e+00 +1.9981e+00 +1.0742e+00 -7.4868e-02 +3.6488e+00 +2.8871e+00 -1.1468e-01 -3.9208e+00 +2.3773e+00 +1.3588e+00
48190 +1.447687672e-03 +1.447687672e-03 +7.948144769e+01 +7.948144769e+01 +2.4815e-01 -1.1492e+00 -7.1473e-01 +1.9229e+00 -2.6887e+00 +4.3162e-01 -1.1389e-01 +1.1734e-01 -1.6464e+00 -3.0521e+00 -3.8383e+00 +2.0254e+00 +1.0906e+00 -6.8764e-02 +3.6569e+00 +2.9111e+00 -1.2188e-01 -3.9315e+00 +2.3784e+00 +1.3531e+00
51810 +8.303695536e-04 +8.303695536e-04 +7.948083037e+01 +7.948083037e+01 +2.6319e-01 -1.1588e+00 -7.2545e-01 +1.9230e+00 -2.6896e+00 +4.3287e-01 -1.1501e-01 +1.1846e-01 -1.6336e+00 -3.0539e+00 -3.8406e+00 +2.0129e+00 +1.0806e+00 -7.3132e-02 +3.6528e+00 +2.9104e+00 -1.3632e-01 -3.9298e+00 +2.3632e+00 +1.3591e+00
54617 +6.295182823e-04 +6.295182823e-04 +7.948062952e+01 +7.948062952e+01 +2.5694e-01 -1.1676e+00 -7.2919e-01 +1.9221e+00 -2.6806e+00 +4.2838e-01 -1.1026e-01 +1.2694e-01 -1.6347e+00 -3.0486e+00 -3.8518e+00 +2.0143e+00 +1.0891e+00 -8.5837e-02 +3.6540e+00 +2.9040e+00 -1.2359e-01 -3.9292e+00 +2.3733e+00 +1.3538e+00
57426 +3.796312886e-04 +3.796312886e-04 +7.948037963e+01 +7.948037963e+01 +2.4499e-01 -1.1628e+00 -7.3147e-01 +1.9258e+00 -2.6808e+00 +4.3947e-01 -1.1915e-01 +1.1750e-01 -1.6415e+00 -3.0545e+00 -3.8613e+00 +2.0168e+00 +1.0897e+00 -8.3444e-02 +3.6481e+00 +2.9105e+00 -1.2863e-01 -3.9194e+00 +2.3624e+00 +1.3544e+00
58530 +2.157509761e-04 +2.157509761e-04 +7.948021575e+01 +7.948021575e+01 +2.5490e-01 -1.1615e+00 -7.2316e-01 +1.9279e+00 -2.6842e+00 +4.3457e-01 -1.1746e-01 +1.1777e-01 -1.6364e+00 -3.0528e+00 -3.8492e+00 +2.0166e+00 +1.0776e+00 -8.2857e-02 +3.6474e+00 +2.9080e+00 -1.2060e-01 -3.9268e+00 +2.3632e+00 +1.3548e+00
59873 +1.341932094e-04 +1.341932094e-04 +7.948013419e+01 +7.948013419e+01 +2.5423e-01 -1.1535e+00 -7.2071e-01 +1.9257e+00 -2.6819e+00 +4.4192e-01 -1.1780e-01 +1.1841e-01 -1.6392e+00 -3.0504e+00 -3.8465e+00 +2.0156e+00 +1.0913e+00 -8.7190e-02 +3.6505e+00 +2.9102e+00 -1.2353e-01 -3.9297e+00 +2.3610e+00 +1.3588e+00
62304 +9.273134005e-05 +9.273134005e-05 +7.948009273e+01 +7.948009273e+01 +2.5175e-01 -1.1559e+00 -7.2212e-01 +1.9306e+00 -2.6805e+00 +4.3713e-01 -1.1780e-01 +1.1993e-01 -1.6364e+00 -3.0544e+00 -3.8548e+00 +2.0168e+00 +1.0865e+00 -8.4649e-02 +3.6497e+00 +2.9069e+00 -1.2060e-01 -3.9241e+00 +2.3634e+00 +1.3566e+00
66084 +6.077326942e-05 +6.077326942e-05 +7.948006077e+01 +7.948006077e+01 +2.5415e-01 -1.1535e+00 -7.2137e-01 +1.9255e+00 -2.6819e+00 +4.3820e-01 -1.1762e-01 +1.1841e-01 -1.6379e+00 -3.0501e+00 -3.8514e+00 +2.0156e+00 +1.0844e+00 -8.6009e-02 +3.6505e+00 +2.9081e+00 -1.2381e-01 -3.9307e+00 +2.3610e+00 +1.3600e+00
68580 +3.832647390e-05 +3.832647390e-05 +7.948003833e+01 +7.948003833e+01 +2.5451e-01 -1.1562e+00 -7.2119e-01 +1.9252e+00 -2.6819e+00 +4.3958e-01 -1.1666e-01 +1.2155e-01 -1.6367e+00 -3.0511e+00 -3.8533e+00 +2.0155e+00 +1.0896e+00 -8.7190e-02 +3.6476e+00 +2.9098e+00 -1.2479e-01 -3.9297e+00 +2.3641e+00 +1.3567e+00
68760 +2.160734601e-05 +2.160734601e-05 +7.948002161e+01 +7.948002161e+01 +2.5419e-01 -1.1581e+00 -7.2268e-01 +1.9260e+00 -2.6806e+00 +4.4028e-01 -1.1735e-01 +1.1829e-01 -1.6388e+00 -3.0523e+00 -3.8543e+00 +2.0149e+00 +1.0868e+00 -8.6981e-02 +3.6484e+00 +2.9080e+00 -1.2465e-01 -3.9299e+00 +2.3633e+00 +1.3587e+00
71791 +1.569844770e-05 +1.569844770e-05 +7.948001570e+01 +7.948001570e+01 +2.5477e-01 -1.1581e+00 -7.2385e-01 +1.9260e+00 -2.6807e+00 +4.4009e-01 -1.1736e-01 +1.2004e-01 -1.6360e+00 -3.0524e+00 -3.8541e+00 +2.0158e+00 +1.0861e+00 -8.6780e-02 +3.6482e+00 +2.9085e+00 -1.2371e-01 -3.9284e+00 +2.3637e+00 +1.3587e+00
74266 +9.073548313e-06 +9.073548313e-06 +7.948000907e+01 +7.948000907e+01 +2.5264e-01 -1.1570e+00 -7.2408e-01 +1.9260e+00 -2.6810e+00 +4.3905e-01 -1.1567e-01 +1.1989e-01 -1.6396e+00 -3.0510e+00 -3.8539e+00 +2.0162e+00 +1.0870e+00 -8.6803e-02 +3.6475e+00 +2.9086e+00 -1.2370e-01 -3.9282e+00 +2.3635e+00 +1.3588e+00
76655 +5.767159649e-06 +5.767159649e-06 +7.948000577e+01 +7.948000577e+01 +2.5189e-01 -1.1577e+00 -7.2321e-01 +1.9265e+00 -2.6811e+00 +4.3950e-01 -1.1711e-01 +1.1993e-01 -1.6377e+00 -3.0511e+00 -3.8542e+00 +2.0153e+00 +1.0862e+00 -8.6751e-02 +3.6477e+00 +2.9098e+00 -1.2477e-01 -3.9275e+00 +2.3621e+00 +1.3576e+00
76974 +3.809593665e-06 +3.809593665e-06 +7.948000381e+01 +7.948000381e+01 +2.5324e-01 -1.1574e+00 -7.2382e-01 +1.9270e+00 -2.6810e+00 +4.3921e-01 -1.1700e-01 +1.1988e-01 -1.6384e+00 -3.0515e+00 -3.8530e+00 +2.0150e+00 +1.0865e+00 -8.6509e-02 +3.6475e+00 +2.9084e+00 -1.2423e-01 -3.9282e+00 +2.3626e+00 +1.3582e+00
82139 +1.865317387e-06 +1.865317387e-06 +7.948000187e+01 +7.948000187e+01 +2.5314e-01 -1.1571e+00 -7.2398e-01 +1.9261e+00 -2.6801e+00 +4.3938e-01 -1.1701e-01 +1.2032e-01 -1.6374e+00 -3.0509e+00 -3.8537e+00 +2.0160e+00 +1.0865e+00 -8.6832e-02 +3.6473e+00 +2.9084e+00 -1.2515e-01 -3.9283e+00 +2.3627e+00 +1.3588e+00
84642 +1.498313082e-06 +1.498313082e-06 +7.948000150e+01 +7.948000150e+01 +2.5295e-01 -1.1567e+00 -7.2436e-01 +1.9261e+00 -2.6810e+00 +4.3923e-01 -1.1708e-01 +1.2019e-01 -1.6375e+00 -3.0510e+00 -3.8541e+00 +2.0159e+00 +1.0865e+00 -8.7065e-02 +3.6476e+00 +2.9089e+00 -1.2481e-01 -3.9283e+00 +2.3626e+00 +1.3584e+00
87708 +8.868962880e-07 +8.868962880e-07 +7.948000089e+01 +7.948000089e+01 +2.5274e-01 -1.1570e+00 -7.2418e-01 +1.9263e+00 -2.6809e+00 +4.3921e-01 -1.1684e-01 +1.2004e-01 -1.6371e+00 -3.0510e+00 -3.8534e+00 +2.0162e+00 +1.0865e+00 -8.6365e-02 +3.6475e+00 +2.9086e+00 -1.2439e-01 -3.9281e+00 +2.3626e+00 +1.3584e+00
90317 +5.974904695e-07 +5.974904695e-07 +7.948000060e+01 +7.948000060e+01 +2.5284e-01 -1.1569e+00 -7.2431e-01 +1.9266e+00 -2.6807e+00 +4.3944e-01 -1.1697e-01 +1.1980e-01 -1.6378e+00 -3.0511e+00 -3.8535e+00 +2.0160e+00 +1.0863e+00 -8.6463e-02 +3.6473e+00 +2.9084e+00 -1.2506e-01 -3.9281e+00 +2.3625e+00 +1.3585e+00
92136 +3.158185535e-07 +3.158185535e-07 +7.948000032e+01 +7.948000032e+01 +2.5283e-01 -1.1568e+00 -7.2397e-01 +1.9264e+00 -2.6806e+00 +4.3922e-01 -1.1696e-01 +1.1988e-01 -1.6378e+00 -3.0511e+00 -3.8538e+00 +2.0158e+00 +1.0864e+00 -8.6398e-02 +3.6473e+00 +2.9086e+00 -1.2500e-01 -3.9282e+00 +2.3623e+00 +1.3584e+00
94943 +2.096563776e-07 +2.096563776e-07 +7.948000021e+01 +7.948000021e+01 +2.5288e-01 -1.1570e+00 -7.2405e-01 +1.9264e+00 -2.6808e+00 +4.3927e-01 -1.1684e-01 +1.1996e-01 -1.6377e+00 -3.0511e+00 -3.8535e+00 +2.0162e+00 +1.0866e+00 -8.6241e-02 +3.6473e+00 +2.9088e+00 -1.2483e-01 -3.9281e+00 +2.3624e+00 +1.3585e+00
96545 +1.518142057e-07 +1.518142057e-07 +7.948000015e+01 +7.948000015e+01 +2.5273e-01 -1.1568e+00 -7.2410e-01 +1.9265e+00 -2.6806e+00 +4.3926e-01 -1.1681e-01 +1.1991e-01 -1.6377e+00 -3.0513e+00 -3.8536e+00 +2.0160e+00 +1.0865e+00 -8.6376e-02 +3.6473e+00 +2.9087e+00 -1.2483e-01 -3.9280e+00 +2.3625e+00 +1.3584e+00
100504 +9.980684013e-08 +9.980684013e-08 +7.948000010e+01 +7.948000010e+01 +2.5283e-01 -1.1569e+00 -7.2404e-01 +1.9265e+00 -2.6809e+00 +4.3911e-01 -1.1691e-01 +1.1996e-01 -1.6376e+00 -3.0511e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6323e-02 +3.6472e+00 +2.9089e+00 -1.2475e-01 -3.9280e+00 +2.3623e+00 +1.3584e+00
103015 +4.629097816e-08 +4.629097816e-08 +7.948000005e+01 +7.948000005e+01 +2.5283e-01 -1.1568e+00 -7.2404e-01 +1.9263e+00 -2.6808e+00 +4.3928e-01 -1.1685e-01 +1.1994e-01 -1.6377e+00 -3.0513e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6361e-02 +3.6473e+00 +2.9087e+00 -1.2480e-01 -3.9279e+00 +2.3624e+00 +1.3584e+00
105286 +3.260345238e-08 +3.260345238e-08 +7.948000003e+01 +7.948000003e+01 +2.5279e-01 -1.1568e+00 -7.2404e-01 +1.9264e+00 -2.6808e+00 +4.3924e-01 -1.1686e-01 +1.1994e-01 -1.6377e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0863e+00 -8.6361e-02 +3.6472e+00 +2.9088e+00 -1.2480e-01 -3.9279e+00 +2.3624e+00 +1.3584e+00
108097 +2.219412920e-08 +2.219412920e-08 +7.948000002e+01 +7.948000002e+01 +2.5283e-01 -1.1568e+00 -7.2400e-01 +1.9263e+00 -2.6808e+00 +4.3919e-01 -1.1688e-01 +1.1997e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6396e-02 +3.6472e+00 +2.9087e+00 -1.2481e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
110797 +1.443420672e-08 +1.443420672e-08 +7.948000001e+01 +7.948000001e+01 +2.5283e-01 -1.1568e+00 -7.2400e-01 +1.9263e+00 -2.6808e+00 +4.3919e-01 -1.1684e-01 +1.1996e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6396e-02 +3.6472e+00 +2.9088e+00 -1.2479e-01 -3.9281e+00 +2.3624e+00 +1.3584e+00
113911 +8.491198855e-09 +8.491198855e-09 +7.948000001e+01 +7.948000001e+01 +2.5279e-01 -1.1568e+00 -7.2402e-01 +1.9264e+00 -2.6808e+00 +4.3918e-01 -1.1683e-01 +1.1999e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6380e-02 +3.6472e+00 +2.9088e+00 -1.2480e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
116721 +6.091568139e-09 +6.091568139e-09 +7.948000001e+01 +7.948000001e+01 +2.5280e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6808e+00 +4.3918e-01 -1.1679e-01 +1.1999e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6426e-02 +3.6472e+00 +2.9088e+00 -1.2481e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
117939 +3.908013468e-09 +3.908013468e-09 +7.948000000e+01 +7.948000000e+01 +2.5279e-01 -1.1568e+00 -7.2401e-01 +1.9264e+00 -2.6808e+00 +4.3920e-01 -1.1679e-01 +1.2000e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6384e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
121018 +2.494886076e-09 +2.494886076e-09 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00 -7.2399e-01 +1.9264e+00 -2.6808e+00 +4.3919e-01 -1.1677e-01 +1.2000e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6388e-02 +3.6472e+00 +2.9088e+00 -1.2478e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
123319 +9.981562243e-10 +9.981562243e-10 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6808e+00 +4.3920e-01 -1.1681e-01 +1.2001e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6400e-02 +3.6472e+00 +2.9088e+00 -1.2481e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
126968 +5.198188546e-10 +5.198188546e-10 +7.948000000e+01 +7.948000000e+01 +2.5280e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6808e+00 +4.3920e-01 -1.1680e-01 +1.2000e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6400e-02 +3.6472e+00 +2.9088e+00 -1.2480e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
