% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7583 +5.260785818e+04 +5.260785818e+04 +5.239797818e+04 +5.239797818e+04 +2.6582e-01 +2.1346e+00 +2.0256e+00 +1.7047e+00 +1.3682e-01 -1.9779e+00 +2.2822e+00 -4.6861e+00 -1.3667e+00 +4.2042e+00 +2.9549e+00 +1.3810e+00 +2.9701e+00 -7.6608e-01 -1.6424e+00 -3.4321e+00 -3.3978e+00 +3.0369e+00 -2.2800e+00 +1.9644e+00
8047 +3.288080114e+04 +3.288080114e+04 +3.267092114e+04 +3.267092114e+04 +1.2805e-02 +1.9797e+00 -3.6876e+00 +3.9575e+00 -1.1643e+00 +1.7457e+00 -1.0778e+00 -3.6283e+00 -1.2143e+00 +1.6196e-02 +1.2008e+00 +1.3190e+00 +4.5963e+00 -1.1565e+00 -1.8047e+00 -3.7491e+00 -2.9889e+00 +3.1714e+00 -2.4101e+00 +2.0451e+00
9975 +2.408618320e+04 +2.408618320e+04 +2.387630320e+04 +2.387630320e+04 +6.2377e-01 +3.0217e+00 -8.2555e-01 +3.4460e+00 -4.4035e+00 +1.5307e+00 -4.8859e-01 +1.3081e+00 -2.8824e+00 +3.3087e+00 +1.3199e+00 +2.7941e+00 +3.4684e+00 -1.7587e+00 -1.3440e+00 -3.6211e+00 -3.2665e+00 +3.2016e+00 -2.3462e+00 +1.8964e+00
10316 +1.504973168e+04 +1.504973168e+04 +1.483985168e+04 +1.483985168e+04 +1.2805e-02 +2.2091e+00 +2.4135e+00 +3.2595e+00 -1.1643e+00 +3.7143e+00 +1.8067e+00 +3.9238e+00 -1.2143e+00 +2.9573e+00 +1.2008e+00 +1.3190e+00 +4.5963e+00 -1.4309e+00 -1.5628e+00 -3.5457e+00 -2.9889e+00 +3.1714e+00 -2.4101e+00 +1.9652e+00
12127 +7.406756795e+03 +7.406756795e+03 +7.196876795e+03 +7.196876795e+03 -2.0102e+00 +3.6720e+00 -3.0902e+00 -5.2587e-01 -1.1785e+00 -6.5835e-01 +4.3854e+00 -6.9354e-02 -3.7289e-01 +1.0947e+00 +1.3252e+00 +1.9252e+00 +3.9183e+00 -1.1727e+00 -1.6423e+00 -3.5854e+00 -3.0621e+00 +3.0960e+00 -2.3866e+00 +1.9389e+00
12916 +5.346287629e+03 +5.346287629e+03 +5.136407629e+03 +5.136407629e+03 -2.0102e+00 +3.2401e+00 -4.2403e+00 -1.6802e-02 -1.1785e+00 -3.7870e-01 +4.3854e+00 -6.9354e-02 -1.1358e+00 +1.0947e+00 +1.3252e+00 +1.9252e+00 +4.0144e+00 -1.1898e+00 -1.6423e+00 -3.7229e+00 -3.0621e+00 +3.0960e+00 -2.3866e+00 +1.9389e+00
13649 +3.773383022e+03 +3.773383022e+03 +3.563503022e+03 +3.563503022e+03 +3.6765e-01 +5.2330e-01 +2.9133e-01 +2.2187e+00 +1.2183e+00 +8.8750e-01 +1.5677e+00 -1.7499e-01 -1.9020e+00 +2.8979e+00 +8.9190e-01 +1.1178e+00 +4.3720e+00 -1.4126e+00 -1.4857e+00 -3.7185e+00 -3.1481e+00 +3.0690e+00 -2.4134e+00 +1.9376e+00
15561 +1.980763938e+03 +1.980763938e+03 +1.770883938e+03 +1.770883938e+03 +3.6765e-01 +5.2330e-01 +2.9133e-01 -2.2456e+00 +7.8904e-01 +6.2778e-01 +1.5677e+00 -1.7499e-01 -4.1445e-01 +2.9924e+00 +8.9190e-01 +1.4052e+00 +3.9563e+00 -1.4126e+00 -1.4419e+00 -3.7889e+00 -3.0793e+00 +3.0690e+00 -2.4134e+00 +1.9376e+00
18209 +1.366377631e+03 +1.366377631e+03 +1.156497631e+03 +1.156497631e+03 +4.2696e-01 +1.7849e+00 +8.0880e-01 +3.5669e+00 -1.0841e+00 +8.2462e-01 +3.2544e+00 +4.1485e-01 -1.1568e+00 +2.4950e+00 +8.0476e-01 +1.3004e+00 +4.1524e+00 -1.3906e+00 -1.5055e+00 -3.7381e+00 -3.0909e+00 +3.0622e+00 -2.3621e+00 +1.9341e+00
19148 +9.804310012e+02 +9.804310012e+02 +7.705510012e+02 +7.705510012e+02 +3.6765e-01 +8.0483e-01 +2.9133e-01 -9.3832e-02 +7.8904e-01 +1.8952e-01 +1.5677e+00 -1.7499e-01 -7.8508e-01 +2.9491e+00 +9.9281e-01 +1.4052e+00 +3.9405e+00 -1.4126e+00 -1.5366e+00 -3.7889e+00 -3.0793e+00 +3.0728e+00 -2.3804e+00 +1.9380e+00
21046 +3.892209610e+02 +3.892209610e+02 +1.793409610e+02 +1.793409610e+02 -7.2917e-01 +4.7015e-01 +2.9133e-01 +2.8965e+00 +7.8904e-01 +3.0614e+00 +1.5677e+00 -7.3621e-03 -8.6740e-01 +2.8584e+00 +1.0206e+00 +1.4052e+00 +3.9791e+00 -1.4126e+00 -1.5197e+00 -3.7889e+00 -3.0793e+00 +3.0708e+00 -2.3875e+00 +1.9230e+00
24483 +2.450700657e+02 +2.450700657e+02 +3.519006570e+01 +3.519006570e+01 +5.4456e-01 +1.5623e+00 +2.9425e-01 +2.8965e+00 +1.3510e+00 +2.5623e+00 +2.3047e+00 -7.3621e-03 -1.0650e+00 +2.3636e+00 +1.0217e+00 +1.6092e+00 +3.9389e+00 -1.4180e+00 -1.5324e+00 -3.7888e+00 -3.0817e+00 +3.0736e+00 -2.3772e+00 +1.9229e+00
28050 +1.571509295e+02 +1.571509295e+02 -5.272907053e+01 -5.272907053e+01 -1.0982e+00 +2.0385e+00 +2.8149e-01 +1.9237e+00 +9.3243e-01 +2.7906e+00 +2.2623e+00 -7.3621e-03 -1.0045e+00 +2.6653e+00 +1.0210e+00 +1.6113e+00 +3.9805e+00 -1.4095e+00 -1.5263e+00 -3.7521e+00 -3.0708e+00 +3.0711e+00 -2.3831e+00 +1.9204e+00
30117 +7.651629893e+01 +7.651629893e+01 -1.333637011e+02 -1.333637011e+02 +5.2073e-01 +1.7757e+00 +3.3280e+00 +2.6806e+00 +1.3852e+00 +2.6455e+00 +2.6848e+00 -1.4099e-01 -1.0615e+00 +2.5923e+00 +8.0031e-01 +1.6085e+00 +3.9849e+00 -1.4160e+00 -1.5219e+00 -3.7488e+00 -3.0687e+00 +3.0684e+00 -2.3779e+00 +1.9200e+00
31633 +5.186341416e+01 +5.186341416e+01 -1.580165858e+02 -1.580165858e+02 +1.5088e+00 +2.2420e+00 +3.1575e+00 +2.8965e+00 +1.9233e+00 +2.5282e+00 +2.2608e+00 -2.3414e-01 -9.9055e-01 +2.6474e+00 +9.5790e-01 +1.6240e+00 +3.9715e+00 -1.4197e+00 -1.5396e+00 -3.7728e+00 -3.0651e+00 +3.0675e+00 -2.3783e+00 +1.9217e+00
33581 +3.887281056e+01 +3.887281056e+01 -1.710071894e+02 -1.710071894e+02 +5.2073e-01 +1.8195e+00 +3.7221e+00 +2.2823e+00 +1.4945e+00 +2.6961e+00 +2.4431e+00 -7.6099e-02 -1.0510e+00 +2.6223e+00 +8.9280e-01 +1.6079e+00 +3.9464e+00 -1.4160e+00 -1.5246e+00 -3.7711e+00 -3.0629e+00 +3.0701e+00 -2.3793e+00 +1.9209e+00
34824 +2.390262969e+01 +2.390262969e+01 -1.859773703e+02 -1.859773703e+02 +2.0199e+00 -3.5825e-01 +3.5575e+00 +2.6466e+00 +1.2069e+00 +2.8044e+00 +2.2468e+00 -9.6544e-02 -1.0812e+00 +2.5845e+00 +9.2086e-01 +1.5936e+00 +3.9738e+00 -1.4142e+00 -1.5340e+00 -3.7737e+00 -3.0598e+00 +3.0688e+00 -2.3808e+00 +1.9194e+00
37171 +1.493039879e+01 +1.493039879e+01 -1.949496012e+02 -1.949496012e+02 +4.6371e-01 -3.5825e-01 +3.7426e+00 +2.2268e+00 +1.6430e+00 +2.8229e+00 +2.3083e+00 -1.8012e-02 -1.0776e+00 +2.5813e+00 +8.5527e-01 +1.5984e+00 +3.9727e+00 -1.4143e+00 -1.5353e+00 -3.7737e+00 -3.0653e+00 +3.0648e+00 -2.3808e+00 +1.9199e+00
39906 +6.308545630e+00 +6.308545630e+00 -2.035714544e+02 -2.035714544e+02 +2.0483e+00 +6.9518e-01 +3.5067e+00 +2.4947e+00 +2.0142e+00 +2.7987e+00 +2.3606e+00 -1.4389e-01 -1.0863e+00 +2.6203e+00 +8.9530e-01 +1.5586e+00 +3.9813e+00 -1.4183e+00 -1.5301e+00 -3.7689e+00 -3.0638e+00 +3.0663e+00 -2.3803e+00 +1.9199e+00
44454 +3.693843221e+00 +3.693843221e+00 -2.061861568e+02 -2.061861568e+02 +2.0483e+00 +2.8153e-01 +3.5244e+00 +2.4947e+00 +1.8857e+00 +2.7850e+00 +2.2524e+00 -8.2834e-02 -1.0989e+00 +2.6387e+00 +8.9574e-01 +1.5623e+00 +3.9854e+00 -1.4183e+00 -1.5309e+00 -3.7690e+00 -3.0633e+00 +3.0636e+00 -2.3801e+00 +1.9199e+00
47654 +2.309491500e+00 +2.309491500e+00 -2.075705085e+02 -2.075705085e+02 +1.6100e+00 +6.1847e-01 +3.5067e+00 +2.4947e+00 +1.9211e+00 +2.7995e+00 +2.3142e+00 -1.1018e-01 -1.0885e+00 +2.6200e+00 +8.9348e-01 +1.5596e+00 +3.9752e+00 -1.4185e+00 -1.5306e+00 -3.7689e+00 -3.0621e+00 +3.0636e+00 -2.3803e+00 +1.9196e+00
49247 +8.786512128e-01 +8.786512128e-01 -2.090013488e+02 -2.090013488e+02 +1.2704e+00 +4.6893e-01 +3.6146e+00 +2.4197e+00 +1.7845e+00 +2.7303e+00 +2.3474e+00 -1.1303e-01 -1.0927e+00 +2.5892e+00 +8.7616e-01 +1.5579e+00 +3.9807e+00 -1.4193e+00 -1.5309e+00 -3.7692e+00 -3.0608e+00 +3.0634e+00 -2.3802e+00 +1.9199e+00
52047 +6.141853569e-01 +6.141853569e-01 -2.092658146e+02 -2.092658146e+02 +1.4876e+00 +4.1246e-01 +3.6098e+00 +2.3776e+00 +1.8511e+00 +2.6927e+00 +2.3285e+00 -4.9646e-02 -1.1187e+00 +2.6074e+00 +8.7505e-01 +1.5574e+00 +3.9788e+00 -1.4198e+00 -1.5328e+00 -3.7691e+00 -3.0619e+00 +3.0634e+00 -2.3798e+00 +1.9200e+00
54940 +3.736284091e-01 +3.736284091e-01 -2.095063716e+02 -2.095063716e+02 +1.4338e+00 +4.7416e-01 +3.5151e+00 +2.4197e+00 +1.8258e+00 +2.7159e+00 +2.3412e+00 -7.5587e-02 -1.0992e+00 +2.6093e+00 +8.8147e-01 +1.5573e+00 +3.9771e+00 -1.4180e+00 -1.5324e+00 -3.7689e+00 -3.0621e+00 +3.0634e+00 -2.3802e+00 +1.9200e+00
56731 +2.443731014e-01 +2.443731014e-01 -2.096356269e+02 -2.096356269e+02 +1.4799e+00 +4.4590e-01 +3.5353e+00 +2.3968e+00 +1.8033e+00 +2.6945e+00 +2.3285e+00 -8.7059e-02 -1.1037e+00 +2.6049e+00 +8.7834e-01 +1.5589e+00 +3.9788e+00 -1.4200e+00 -1.5328e+00 -3.7691e+00 -3.0611e+00 +3.0634e+00 -2.3802e+00 +1.9200e+00
59684 +1.499233125e-01 +1.499233125e-01 -2.097300767e+02 -2.097300767e+02 +1.3074e+00 +5.2476e-01 +3.6091e+00 +2.3759e+00 +1.7738e+00 +2.7183e+00 +2.3215e+00 -8.4679e-02 -1.1082e+00 +2.6078e+00 +8.8264e-01 +1.5576e+00 +3.9774e+00 -1.4191e+00 -1.5329e+00 -3.7691e+00 -3.0617e+00 +3.0634e+00 -2.3798e+00 +1.9201e+00
62814 +8.359914674e-02 +8.359914674e-02 -2.097964009e+02 -2.097964009e+02 +1.3439e+00 +4.1487e-01 +3.5372e+00 +2.3785e+00 +1.8096e+00 +2.6882e+00 +2.3241e+00 -8.0781e-02 -1.1104e+00 +2.6040e+00 +8.8605e-01 +1.5570e+00 +3.9789e+00 -1.4196e+00 -1.5337e+00 -3.7691e+00 -3.0617e+00 +3.0633e+00 -2.3800e+00 +1.9200e+00
64639 +5.849658713e-02 +5.849658713e-02 -2.098215034e+02 -2.098215034e+02 +1.2225e+00 +4.5002e-01 +3.5791e+00 +2.3722e+00 +1.7876e+00 +2.6823e+00 +2.3301e+00 -8.6631e-02 -1.1113e+00 +2.6031e+00 +8.8390e-01 +1.5578e+00 +3.9789e+00 -1.4192e+00 -1.5327e+00 -3.7690e+00 -3.0617e+00 +3.0633e+00 -2.3800e+00 +1.9201e+00
67271 +3.102440825e-02 +3.102440825e-02 -2.098489756e+02 -2.098489756e+02 +1.1937e+00 +4.4620e-01 +3.5590e+00 +2.3873e+00 +1.7823e+00 +2.6900e+00 +2.3272e+00 -9.0812e-02 -1.1071e+00 +2.6053e+00 +8.8258e-01 +1.5573e+00 +3.9777e+00 -1.4193e+00 -1.5329e+00 -3.7691e+00 -3.0617e+00 +3.0633e+00 -2.3801e+00 +1.9200e+00
69560 +2.033774164e-02 +2.033774164e-02 -2.098596623e+02 -2.098596623e+02 +1.1956e+00 +4.4566e-01 +3.5601e+00 +2.3985e+00 +1.7806e+00 +2.6809e+00 +2.3243e+00 -9.2267e-02 -1.1113e+00 +2.6038e+00 +8.8245e-01 +1.5576e+00 +3.9787e+00 -1.4192e+00 -1.5334e+00 -3.7688e+00 -3.0617e+00 +3.0632e+00 -2.3801e+00 +1.9200e+00
70368 +1.562977464e-02 +1.562977464e-02 -2.098643702e+02 -2.098643702e+02 +1.2015e+00 +4.4556e-01 +3.5601e+00 +2.3979e+00 +1.7804e+00 +2.6809e+00 +2.3239e+00 -9.2267e-02 -1.1113e+00 +2.6041e+00 +8.8245e-01 +1.5576e+00 +3.9785e+00 -1.4192e+00 -1.5334e+00 -3.7688e+00 -3.0617e+00 +3.0632e+00 -2.3801e+00 +1.9200e+00
74300 +9.271056744e-03 +9.271056744e-03 -2.098707289e+02 -2.098707289e+02 +1.2018e+00 +4.4610e-01 +3.5623e+00 +2.3979e+00 +1.7845e+00 +2.6899e+00 +2.3261e+00 -9.0104e-02 -1.1094e+00 +2.6038e+00 +8.8295e-01 +1.5574e+00 +3.9778e+00 -1.4193e+00 -1.5334e+00 -3.7688e+00 -3.0617e+00 +3.0632e+00 -2.3801e+00 +1.9200e+00
77801 +5.118535727e-03 +5.118535727e-03 -2.098748815e+02 -2.098748815e+02 +1.2305e+00 +4.4731e-01 +3.5670e+00 +2.3789e+00 +1.7853e+00 +2.6888e+00 +2.3203e+00 -9.1785e-02 -1.1097e+00 +2.6036e+00 +8.8320e-01 +1.5575e+00 +3.9779e+00 -1.4191e+00 -1.5335e+00 -3.7688e+00 -3.0617e+00 +3.0633e+00 -2.3800e+00 +1.9200e+00
78179 +3.937669232e-03 +3.937669232e-03 -2.098760623e+02 -2.098760623e+02 +1.2199e+00 +4.3927e-01 +3.5625e+00 +2.3870e+00 +1.7851e+00 +2.6894e+00 +2.3182e+00 -8.9477e-02 -1.1089e+00 +2.6040e+00 +8.8303e-01 +1.5575e+00 +3.9774e+00 -1.4193e+00 -1.5337e+00 -3.7689e+00 -3.0616e+00 +3.0632e+00 -2.3800e+00 +1.9200e+00
82444 +1.981940892e-03 +1.981940892e-03 -2.098780181e+02 -2.098780181e+02 +1.2199e+00 +4.4749e-01 +3.5580e+00 +2.3870e+00 +1.7868e+00 +2.6894e+00 +2.3205e+00 -8.9477e-02 -1.1100e+00 +2.6040e+00 +8.8303e-01 +1.5575e+00 +3.9775e+00 -1.4193e+00 -1.5338e+00 -3.7688e+00 -3.0616e+00 +3.0632e+00 -2.3800e+00 +1.9200e+00
83845 +1.472287271e-03 +1.472287271e-03 -2.098785277e+02 -2.098785277e+02 +1.2138e+00 +4.4715e-01 +3.5579e+00 +2.3919e+00 +1.7857e+00 +2.6896e+00 +2.3207e+00 -8.9264e-02 -1.1100e+00 +2.6038e+00 +8.8303e-01 +1.5575e+00 +3.9776e+00 -1.4193e+00 -1.5336e+00 -3.7688e+00 -3.0616e+00 +3.0632e+00 -2.3800e+00 +1.9200e+00
85202 +9.692620303e-04 +9.692620303e-04 -2.098790307e+02 -2.098790307e+02 +1.2035e+00 +4.4588e-01 +3.5586e+00 +2.3890e+00 +1.7851e+00 +2.6885e+00 +2.3226e+00 -9.0623e-02 -1.1091e+00 +2.6037e+00 +8.8310e-01 +1.5575e+00 +3.9776e+00 -1.4192e+00 -1.5336e+00 -3.7688e+00 -3.0616e+00 +3.0632e+00 -2.3800e+00 +1.9200e+00
87795 +3.943110270e-04 +3.943110270e-04 -2.098796057e+02 -2.098796057e+02 +1.2035e+00 +4.4588e-01 +3.5571e+00 +2.3835e+00 +1.7844e+00 +2.6885e+00 +2.3226e+00 -9.0255e-02 -1.1102e+00 +2.6038e+00 +8.8311e-01 +1.5575e+00 +3.9776e+00 -1.4192e+00 -1.5336e+00 -3.7688e+00 -3.0616e+00 +3.0632e+00 -2.3800e+00 +1.9200e+00
92457 +2.484752842e-04 +2.484752842e-04 -2.098797515e+02 -2.098797515e+02 +1.1999e+00 +4.4839e-01 +3.5558e+00 +2.3865e+00 +1.7843e+00 +2.6887e+00 +2.3215e+00 -9.0592e-02 -1.1101e+00 +2.6039e+00 +8.8311e-01 +1.5576e+00 +3.9776e+00 -1.4192e+00 -1.5336e+00 -3.7688e+00 -3.0616e+00 +3.0632e+00 -2.3800e+00 +1.9200e+00
